,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
9,20243,D,발달상권,3120057,아차산역,CS300029,애완동물,5960147,7,5960147,0,0,5960147,0,0,0,0,0,0,0,0,0,5960147,0,0,5960147,0,5960147,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0
74,20243,A,골목상권,3110407,도봉역 2번,CS300029,애완동물,36000000,18,36000000,0,0,24607595,11392405,0,0,0,0,0,0,0,11392405,0,24607595,4556962,31443038,0,0,0,4556962,0,31443038,18,0,0,9,9,0,0,0,0,0,0,0,9,0,9,5,13,0,0,0,5,0,13
225,20244,D,발달상권,3120236,장지역(가든파이브),CS300029,애완동물,33491705,1070,6978296,26513409,0,0,0,0,6978296,3087742,23425667,0,0,12906760,16097427,4487518,0,11383357,22108348,0,9280834,10916129,5224451,4205046,3865245,165,905,0,0,0,0,165,124,781,0,0,412,493,165,0,342,728,0,299,386,171,85,129
885,20243,D,발달상권,3120177,신논현역 1번,CS300029,애완동물,2248755,34,2248755,0,0,0,992468,387355,868932,0,0,0,0,439701,1308633,500421,0,871026,1264663,0,387355,0,41876,1706458,0,34,0,0,0,13,4,17,0,0,0,0,18,12,4,0,8,22,0,4,0,4,22,0
1459,20243,D,발달상권,3120207,선정릉역,CS300029,애완동물,177968338,310,101239063,76729275,16594644,12990757,47101969,7123964,17427729,29292062,47437213,0,10476417,20617588,53723064,57196206,35955063,77860729,100107609,0,31591845,81213180,29417778,26526288,9219247,184,126,42,24,60,16,42,25,101,0,16,41,67,119,67,135,175,0,68,117,59,58,8
2118,20243,D,발달상권,3120131,가산디지털단지,CS300029,애완동물,181540645,3051,78059101,103481544,5584525,42485548,0,0,29989028,56675731,46805813,0,0,58875102,64631826,58033717,0,92798582,88742063,191818,69422921,23972913,69252901,17788956,911136,1527,1524,392,481,0,0,654,871,653,0,0,654,1524,873,0,1439,1612,44,1089,436,1133,305,44
2119,20243,D,발달상권,3120194,언주역(차병원),CS300029,애완동물,127722518,2281,51950450,75772068,9434427,3931011,9857767,0,28727245,35181941,40590127,0,6559846,26840707,25106465,41335557,27879943,53734692,73987826,317305,38634095,45088671,34699300,5796851,3186296,588,1693,12,12,6,0,558,855,838,0,120,980,937,220,24,649,1632,11,547,815,535,247,126
3481,20243,R,전통시장,3130110,면목골목시장(면목시장),CS300029,애완동물,166162310,10394,125294576,40867734,25206540,22469973,19853915,37789723,19974425,19095711,21772023,0,12196551,39893616,52752968,59857999,1461176,46973541,119188769,0,5965213,39989020,24900245,61911679,33396153,7532,2862,1908,1204,1406,1759,1255,1305,1557,0,553,1757,3615,4319,150,3214,7180,0,753,3164,1606,2762,2109
3482,20243,A,골목상권,3110255,상봉역 4번,CS300029,애완동물,89751362,24,89751362,0,0,0,89751362,0,0,0,0,0,0,0,40751362,49000000,0,0,89751362,0,0,0,49000000,0,40751362,24,0,0,0,24,0,0,0,0,0,0,0,14,10,0,0,24,0,0,0,10,0,14
3483,20243,A,골목상권,3110416,노원초등학교,CS300029,애완동물,18093603,537,13637712,4455891,4624937,1703468,1692632,3026798,2589877,4455891,0,0,3417771,4174147,5227436,5274249,0,6063132,12030471,0,1545257,3601122,2717746,3461118,6768360,428,109,139,69,60,95,65,109,0,0,87,121,147,182,0,148,389,0,40,73,60,116,248
