기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드
20231,11215,광진구,3192971,07
20231,11440,마포구,3832436,08
20231,11530,구로구,2994059,07
20231,11560,영등포구,3604887,07
20231,11620,관악구,2771927,06
20231,11320,도봉구,2785111,06
20231,11545,금천구,2632285,06
20231,11590,동작구,3454170,07
20231,11350,노원구,3195375,07
20231,11410,서대문구,3417706,07
20231,11650,서초구,4912401,09
20231,11260,중랑구,2598785,06
20231,11290,성북구,3281773,07
20231,11500,강서구,3160623,07
20231,11710,송파구,3995905,08
20231,11200,성동구,3734499,07
20231,11305,강북구,2547460,06
20231,11470,양천구,3796034,08
20231,11110,종로구,3725859,07
20231,11170,용산구,3971498,08
20231,11230,동대문구,3030256,07
20231,11380,은평구,2912739,06
20231,11680,강남구,4943841,09
20231,11740,강동구,3292857,07
20231,11140,중구,3513603,07
20223,11260,중랑구,2598785,06
20223,11290,성북구,3281773,07
20223,11500,강서구,3160623,07
20223,11710,송파구,3995905,08
20223,11200,성동구,3734499,07
20223,11305,강북구,2547460,06
20223,11470,양천구,3796034,08
20223,11110,종로구,3725859,07
20223,11170,용산구,3971498,08
20223,11230,동대문구,3030256,07
20223,11380,은평구,2912739,06
20223,11680,강남구,4943841,09
20223,11740,강동구,3292857,07
20223,11140,중구,3513603,07
20222,11710,송파구,3995905,08
20222,11200,성동구,3734499,07
20222,11305,강북구,2547460,06
20222,11470,양천구,3796034,08
20222,11110,종로구,3725859,07
20222,11170,용산구,3971498,08
20222,11230,동대문구,3030256,07
20222,11380,은평구,2912739,06
20222,11680,강남구,4943841,09
20222,11740,강동구,3292857,07
20241,11500,강서구,3160623,07
20241,11740,강동구,3292857,07
20242,11260,중랑구,2598785,06
20242,11470,양천구,3796034,08
20242,11320,도봉구,2785111,06
20242,11380,은평구,2912739,06
20242,11530,구로구,2994059,07
20242,11680,강남구,4943841,09
20242,11200,성동구,3734499,07
20242,11230,동대문구,3030256,07
20242,11410,서대문구,3417706,07
20242,11440,마포구,3832436,08
20242,11560,영등포구,3604887,07
20242,11620,관악구,2771927,06
20242,11710,송파구,3995905,08
20242,11110,종로구,3725859,07
20242,11290,성북구,3281773,07
20242,11305,강북구,2547460,06
20242,11350,노원구,3195375,07
20242,11545,금천구,2632285,06
20242,11170,용산구,3971498,08
20242,11590,동작구,3454170,07
20242,11650,서초구,4912401,09
20242,11140,중구,3513603,07
20242,11215,광진구,3192971,07
20242,11500,강서구,3160623,07
20242,11740,강동구,3292857,07
20243,11260,중랑구,2598785,06
20243,11470,양천구,3796034,08
20243,11320,도봉구,2785111,06
20243,11380,은평구,2912739,06
20243,11530,구로구,2994059,07
20243,11680,강남구,4943841,09
20243,11200,성동구,3734499,07
20243,11230,동대문구,3030256,07
20243,11410,서대문구,3417706,07
20243,11440,마포구,3832436,08
