구,동,세대수,합계
종로구,사직동,4561,9184
종로구,삼청동,1086,2424
종로구,부암동,4135,9299
종로구,평창동,7131,17401
종로구,무악동,2979,7843
종로구,교남동,4310,9675
종로구,가회동,1850,3835
종로구,종로1?2?3?4가동,4950,8566
종로구,종로5?6가동,3560,5785
종로구,이화동,4398,7556
종로구,창신1동,2660,5437
종로구,창신2동,3906,8550
종로구,창신3동,2747,6407
종로구,숭인1동,3005,6079
종로구,숭인2동,6996,11294
종로구,청운효자동,4938,11144
종로구,혜화동,9218,19010
중구,소공동,1243,3452
중구,회현동,2482,4966
중구,명동,1330,3384
중구,필동,2806,5384
중구,장충동,2919,5507
중구,광희동,3970,7090
중구,을지로동,2100,3404
중구,신당5동,5421,10435
중구,황학동,7893,13996
중구,중림동,5942,12392
중구,신당동,4684,8825
중구,다산동,6736,13544
중구,약수동,7699,16099
중구,청구동,5533,11842
중구,동화동,3980,9988
용산구,후암동,8288,16223
용산구,용산2가동,4985,10044
용산구,남영동,4809,7218
용산구,원효로2동,6272,13634
용산구,효창동,4707,10668
용산구,용문동,5268,11232
용산구,이촌1동,9098,25455
용산구,이촌2동,3575,7809
용산구,이태원1동,3422,7565
용산구,이태원2동,4755,10027
용산구,서빙고동,5076,13053
용산구,보광동,4036,8036
용산구,청파동,11164,19280
용산구,원효로1동,9402,17862
용산구,한강로동,11256,22686
용산구,한남동,7093,15820
성동구,왕십리2동,7346,16233
성동구,마장동,10826,22240
성동구,사근동,8344,14020
성동구,행당1동,6504,13983
성동구,행당2동,9151,22603
성동구,응봉동,5882,14667
성동구,금호1가동,6416,14591
성동구,금호4가동,6370,14184
성동구,성수1가1동,7331,15353
성동구,성수1가2동,6356,13125
성동구,성수2가1동,7395,14444
성동구,성수2가3동,4986,9822
성동구,송정동,5224,9829
성동구,용답동,7856,13115
성동구,왕십리도선동,12102,26411
성동구,금호2?3가동,9420,20952
성동구,옥수동,10666,25451
광진구,화양동,18156,27988
광진구,군자동,11253,21476
광진구,중곡1동,8654,15491
광진구,중곡2동,10521,20436
광진구,중곡3동,8456,15645
광진구,중곡4동,12985,27474
광진구,능동,6455,11349
광진구,구의1동,13270,23698
광진구,구의2동,11459,25727
광진구,구의3동,12043,27795
광진구,광장동,11809,33781
광진구,자양1동,12133,22662
광진구,자양2동,11632,25352
광진구,자양3동,10971,27231
광진구,자양4동,11175,23458
동대문구,회기동,6620,13510
동대문구,휘경1동,7504,15586
동대문구,휘경2동,12834,25331
동대문구,청량리동,9983,19033
동대문구,용신동,22074,40602
동대문구,제기동,13154,25492
동대문구,전농1동,16514,33596
동대문구,전농2동,7449,18039
동대문구,답십리2동,12488,27491
동대문구,장안1동,18424,37871
동대문구,장안2동,14720,33322
동대문구,이문1동,11764,24824
동대문구,이문2동,8314,19228
동대문구,답십리1동,12980,28125
중랑구,면목2동,12115,23523
중랑구,면목4동,8892,18103
중랑구,면목5동,6334,14306
중랑구,면목7동,10516,21282
중랑구,상봉1동,10053,22910
중랑구,상봉2동,13193,21477
중랑구,중화1동,8805,18419
중랑구,중화2동,13465,24062
중랑구,묵1동,14938,33564
중랑구,묵2동,9211,18211
중랑구,망우3동,8177,15850
중랑구,신내1동,14702,37100
중랑구,신내2동,8846,19323
중랑구,면목본동,17784,33039
중랑구,면목3?8동,12731,24271
중랑구,망우본동,18904,38653
성북구,돈암1동,6011,14053
성북구,돈암2동,8504,23178
성북구,안암동,10323,18091
성북구,보문동,8103,16463
성북구,정릉1동,7330,17760
성북구,정릉2동,9736,22340
성북구,정릉3동,7915,15776
성북구,정릉4동,10770,24369
성북구,길음1동,12807,35608
성북구,길음2동,8625,21600
성북구,월곡1동,10700,25299
성북구,월곡2동,9566,19279
성북구,장위1동,10583,23177
성북구,장위2동,6921,13929
성북구,장위3동,6800,16539
성북구,성북동,8077,16289
성북구,삼선동,11507,22589
성북구,동선동,9765,15991
성북구,종암동,16922,39046
성북구,석관동,16622,34272
강북구,번1동,9730,17138
강북구,번2동,7449,14661
강북구,번3동,7601,15904
강북구,수유1동,10484,19979
강북구,수유2동,9735,20375
강북구,수유3동,13663,23992
강북구,삼양동,11671,24603
강북구,미아동,11813,21379
강북구,송중동,13691,28499
강북구,송천동,12045,23040
강북구,삼각산동,11493,30291
강북구,우이동,9586,19690
강북구,인수동,14114,28770
도봉구,쌍문1동,9660,21194
도봉구,쌍문2동,8437,17777
도봉구,쌍문3동,8234,16415
도봉구,쌍문4동,7102,17877
도봉구,방학1동,12946,27525
도봉구,방학2동,9083,18144
도봉구,방학3동,9895,25741
도봉구,창1동,10944,23862
도봉구,창2동,12594,27865
도봉구,창3동,6360,12991
도봉구,창4동,11335,26331
도봉구,창5동,10314,23687
도봉구,도봉1동,10228,19764
도봉구,도봉2동,11885,25974
노원구,월계1동,10098,21207
노원구,월계2동,11659,25221
노원구,월계3동,12843,28201
노원구,공릉2동,17951,42106
노원구,하계1동,12651,26752
노원구,하계2동,8138,20811
노원구,중계본동,7882,22404
노원구,중계1동,8926,26207
노원구,중계4동,8157,18979
노원구,상계1동,15538,36448
노원구,상계2동,8498,18969
노원구,상계5동,10866,22580
노원구,상계8동,9086,21467
노원구,상계9동,8338,19235
노원구,상계10동,7611,17878
노원구,상계3?4동,12405,27107
노원구,상계6?7동,13865,30906
노원구,중계2?3동,14801,31667
노원구,공릉1동,18851,36382
은평구,녹번동,17435,35820
은평구,불광1동,18164,37645
은평구,갈현1동,7217,14303
은평구,갈현2동,12762,27363
은평구,구산동,13473,30997
은평구,대조동,15553,27493
은평구,응암1동,15077,32469
은평구,응암2동,10975,27260
은평구,신사1동,11976,26144
은평구,신사2동,8672,18781
은평구,증산동,6750,15715
은평구,수색동,8544,21289
은평구,진관동,21092,53298
은평구,불광2동,14096,26633
은평구,응암3동,12532,23567
은평구,역촌동,21273,45206
서대문구,천연동,7609,16652
서대문구,홍제1동,11132,24752
서대문구,홍제3동,7969,17583
서대문구,홍제2동,5317,12215
서대문구,홍은1동,9644,22119
서대문구,홍은2동,12936,28927
서대문구,남가좌1동,6157,16885
서대문구,남가좌2동,13333,30440
서대문구,북가좌1동,6741,17435
서대문구,북가좌2동,14494,30460
서대문구,충현동,9957,19836
서대문구,북아현동,7039,15621
서대문구,신촌동,15245,27914
서대문구,연희동,18690,36974
마포구,용강동,9243,21576
마포구,대흥동,8645,16044
마포구,염리동,7730,17671
마포구,신수동,10095,22487
마포구,서교동,15139,25983
마포구,합정동,9109,16349
마포구,망원1동,10075,18960
마포구,망원2동,8298,17699
마포구,연남동,8331,14948
마포구,성산1동,9653,18937
마포구,성산2동,19702,38762
마포구,상암동,12752,30022
마포구,도화동,9312,20678
마포구,서강동,12215,25224
마포구,공덕동,18429,36641
마포구,아현동,12371,29582
양천구,목1동,10306,30083
양천구,목2동,13319,28483
양천구,목3동,10143,21036
양천구,목4동,9949,24202
양천구,신월1동,9867,19087
양천구,신월2동,8694,20738
양천구,신월3동,7585,14138
양천구,신월4동,6812,17120
양천구,신월5동,6348,13932
양천구,신월6동,5353,13780
양천구,신월7동,9029,18303
양천구,신정1동,6912,19659
양천구,신정2동,6783,18599
양천구,신정3동,19442,48386
양천구,신정6동,8177,23949
양천구,신정7동,11484,28085
양천구,목5동,13498,40772
양천구,신정4동,16442,32024
강서구,염창동,16678,41261
강서구,등촌1동,14407,25256
강서구,등촌2동,8627,19266
강서구,등촌3동,15106,29093
강서구,화곡본동,17211,32484
강서구,화곡2동,8172,17068
강서구,화곡3동,9682,20927
강서구,화곡4동,9591,19440
강서구,화곡6동,13515,25891
강서구,화곡8동,11534,23136
강서구,가양1동,21070,33897
강서구,가양2동,7914,13135
강서구,가양3동,7603,13677
강서구,발산1동,13579,35305
강서구,공항동,13799,29602
강서구,방화1동,16639,40612
강서구,방화2동,12417,23160
강서구,방화3동,11143,21703
강서구,화곡1동,28007,50899
강서구,우장산동,16821,43554
구로구,신도림동,14404,36278
구로구,구로1동,8396,20499
구로구,구로3동,13622,24732
구로구,구로4동,10147,22028
구로구,구로5동,15688,31619
구로구,고척1동,11690,26720
구로구,고척2동,11403,25739
구로구,개봉2동,12159,29459
구로구,개봉3동,8605,19497
구로구,오류1동,12980,23355
구로구,수궁동,10009,22783
구로구,가리봉동,6068,12508
구로구,구로2동,12074,28769
구로구,개봉1동,15265,34033
구로구,오류2동,15398,36410
구로구,항동,6185,16280
금천구,가산동,18567,27598
금천구,독산1동,26213,49115
금천구,독산2동,9360,18777
금천구,독산3동,12660,26250
금천구,독산4동,7444,15731
금천구,시흥1동,16392,33270
금천구,시흥2동,8104,20127
금천구,시흥3동,4667,10249
금천구,시흥4동,8856,19305
금천구,시흥5동,9000,18085
영등포구,여의동,14154,34268
영등포구,당산1동,11912,21576
영등포구,당산2동,18927,36775
영등포구,양평1동,10050,18449
영등포구,양평2동,11369,22883
영등포구,신길1동,11712,20458
영등포구,신길3동,7717,17015
영등포구,신길4동,5693,12553
영등포구,신길5동,4434,10603
영등포구,신길6동,9168,18559
영등포구,신길7동,7877,19819
영등포구,대림1동,6829,15996
영등포구,대림2동,6906,17675
영등포구,대림3동,10265,24682
영등포구,영등포본동,10350,22241
영등포구,영등포동,22450,32139
영등포구,도림동,9840,19601
영등포구,문래동,13005,31609
동작구,노량진2동,5603,8930
동작구,상도1동,23044,46460
동작구,상도2동,12425,27524
동작구,상도3동,12249,24005
동작구,상도4동,14803,29505
동작구,사당1동,14012,22808
동작구,사당3동,10389,23601
동작구,사당4동,7357,13884
동작구,사당5동,6743,14186
동작구,대방동,16183,34469
동작구,신대방1동,10440,24838
동작구,신대방2동,10881,22373
동작구,흑석동,12996,32377
동작구,노량진1동,17912,33948
동작구,사당2동,12545,28190
관악구,보라매동,13007,23762
관악구,청림동,6380,14575
관악구,행운동,18370,29375
관악구,낙성대동,12360,18167
관악구,중앙동,10511,15677
관악구,인헌동,14901,25476
관악구,남현동,9865,17615
관악구,서원동,15508,24011
관악구,신원동,11405,18406
관악구,서림동,15460,24919
관악구,신사동,14713,24482
관악구,신림동,19347,24263
관악구,난향동,6141,14682
관악구,조원동,12462,21203
관악구,대학동,18007,28484
관악구,은천동,16047,32237
관악구,성현동,12749,29486
관악구,청룡동,24754,37269
관악구,난곡동,12777,25081
관악구,삼성동,9485,19459
관악구,미성동,14056,29295
서초구,서초1동,9562,20434
서초구,서초2동,11444,25157
서초구,서초3동,15505,32370
서초구,서초4동,10684,30467
서초구,잠원동,10641,26886
서초구,반포본동,111,236
서초구,반포1동,14605,34144
서초구,반포2동,8576,26801
서초구,반포3동,8267,24001
서초구,반포4동,7047,19286
서초구,방배본동,7865,20220
서초구,방배1동,7537,16555
서초구,방배2동,7799,17797
서초구,방배3동,5827,15883
서초구,방배4동,9625,23000
서초구,양재1동,17629,41270
서초구,양재2동,11004,21197
서초구,내곡동,7059,16830
강남구,신사동,6581,15438
강남구,개포3동,7328,16675
강남구,논현1동,13448,21510
강남구,논현2동,11188,20480
강남구,삼성1동,5439,12964
강남구,삼성2동,13773,30584
강남구,대치1동,7227,23932
강남구,대치4동,9606,18463
강남구,역삼1동,23820,35591
