FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,LC_LA,LC_LO,geometry,dong,sggnm
100세약국,반려동물업,반려의료,동물병원,37.53325958,126.903741,POINT (126.903741 37.53325958),당산2동,영등포구
100코달리 와인바,반려동물업,반려의료,동물병원,37.56330525,127.016417,POINT (127.016417 37.56330525),동화동,중구
1층메디컬약국,반려동물업,반려의료,동물병원,37.45304289,126.901712,POINT (126.901712 37.45304289),시흥1동,금천구
1층이화약국,반려동물업,반려의료,동물병원,37.5665905,127.024082,POINT (127.024082 37.5665905),왕십리도선동,성동구
21세기동물병원,반려동물업,반려의료,동물병원,37.52831582,126.999196,POINT (126.999196 37.52831582),보광동,용산구
21C 세계로약국,반려동물업,반려의료,동물병원,37.54204619,126.840751,POINT (126.840751 37.54204619),우장산동,강서구
24시 강서 젠틀리동물의료센터,반려동물업,반려의료,동물병원,37.55904001,126.820063,POINT (126.820063 37.55904001),공항동,강서구
24시 굿케어동물의료센터,반려동물업,반려의료,동물병원,37.48000009,126.956867,POINT (126.956867 37.48000009),행운동,관악구
24시 글로리 동물병원,반려동물업,반려의료,동물병원,37.47674386,126.898256,POINT (126.898256 37.47674386),독산1동,금천구
24시 동물응급의료센터,반려동물업,반려의료,동물병원,37.59532179,127.079577,POINT (127.079577 37.59532179),중화2동,중랑구
24시 명동물메디컬센터,반려동물업,반려의료,동물병원,37.50156787,126.847162,POINT (126.847162 37.50156787),개봉1동,구로구
24시 산들산들 동물병원,반려동물업,반려의료,동물병원,37.55097463,126.956497,POINT (126.956497 37.55097463),공덕동,마포구
24시 서울 탑 동물병원,반려동물업,반려의료,동물병원,37.51774297,126.853643,POINT (126.853643 37.51774297),신정3동,양천구
24시 스마트동물병원,반려동물업,반려의료,동물병원,37.52069647,127.029989,POINT (127.029989 37.52069647),압구정동,강남구
24시 시유동물메디컬센터,반려동물업,반려의료,동물병원,37.52000492,126.969872,POINT (126.969872 37.52000492),이촌1동,용산구
24시 신도림S동물의료센터,반려동물업,반려의료,동물병원,37.50688385,126.884037,POINT (126.884037 37.50688385),신도림동,구로구
24시 안박동물병원,반려동물업,반려의료,동물병원,37.56011704,126.856339,POINT (126.856339 37.56011704),등촌1동,강서구
24시 애니동물병원,반려동물업,반려의료,동물병원,37.58399292,127.019824,POINT (127.019824 37.58399292),보문동,성북구
24시 지구촌 동물메디컬 센터,반려동물업,반려의료,동물병원,37.49878906,126.884786,POINT (126.884786 37.49878906),구로2동,구로구
24시 청담우리 동물병원,반려동물업,반려의료,동물병원,37.51449135,127.052853,POINT (127.052853 37.51449135),삼성1동,강남구
24시 SNC 동물메디컬센터,반려동물업,반려의료,동물병원,37.4974084,127.038878,POINT (127.038878 37.4974084),역삼2동,강남구
24시루시드동물메디컬센터,반려동물업,반려의료,동물병원,37.60958992,127.030683,POINT (127.030683 37.60958992),송중동,강북구
24시센트럴동물메디컬센터,반려동물업,반려의료,동물병원,37.5586754,127.033737,POINT (127.033737 37.5586754),행당1동,성동구
24시스마트동물메디컬센터,반려동물업,반려의료,동물병원,37.59978536,126.918127,POINT (126.918127 37.59978536),응암1동,은평구
24시아프리카동물메디컬센터,반려동물업,반려의료,동물병원,37.55820284,126.844923,POINT (126.844923 37.55820284),등촌3동,강서구
24시연동물의료센터,반려동물업,반려의료,동물병원,37.54293761,126.842277,POINT (126.842277 37.54293761),우장산동,강서구
24시예담동물의료센터,반려동물업,반려의료,동물병원,37.60958089,126.916793,POINT (126.916793 37.60958089),역촌동,은평구
24시예스동물병원,반려동물업,반려의료,동물병원,37.5071157,127.009873,POINT (127.009873 37.5071157),반포1동,서초구
24시잠실ON동물의료센터,반려동물업,반려의료,동물병원,37.51156036,127.079181,POINT (127.079181 37.51156036),잠실본동,송파구
24시지구촌동물메디컬센터,반려동물업,반려의료,동물병원,37.49878906,126.884786,POINT (126.884786 37.49878906),구로2동,구로구
24시OK동물병원,반려동물업,반려의료,동물병원,37.49556174,127.049817,POINT (127.049817 37.49556174),역삼2동,강남구
24시SD동물영상의료센터,반려동물업,반려의료,동물병원,37.56478,127.02471,POINT (127.02471 37.56478),신당5동,중구
25시동물병원,반려동물업,반려의료,동물병원,37.64777726,127.077579,POINT (127.077579 37.64777726),중계본동,노원구
25시동물의료센터,반려동물업,반려의료,동물병원,37.50553777,127.089412,POINT (127.089412 37.50553777),삼전동,송파구
2층스타약국,반려동물업,반려의료,동물병원,37.63528107,126.917656,POINT (126.917656 37.63528107),진관동,은평구
2층은약국,반려동물업,반려의료,동물병원,37.50975909,126.963859,POINT (126.963859 37.50975909),흑석동,동작구
2층종로약국,반려동물업,반려의료,동물병원,37.61962267,126.921523,POINT (126.921523 37.61962267),불광2동,은평구
2층하늘약국,반려동물업,반려의료,동물병원,37.57014164,126.903832,POINT (126.903832 37.57014164),성산2동,마포구
2Cats,반려동물업,반려의료,동물병원,37.57182943,126.986787,POINT (126.986787 37.57182943),종로1·2·3·4가동,종로구
331멍발소,반려동물업,반려의료,동물병원,37.5850119,127.041494,POINT (127.041494 37.5850119),제기동,동대문구
365 마음동물병원,반려동물업,반려의료,동물병원,37.49627786,126.829996,POINT (126.829996 37.49627786),수궁동,구로구
365 종로약국,반려동물업,반려의료,동물병원,37.57028867,127.057409,POINT (127.057409 37.57028867),답십리2동,동대문구
