"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3110000","311000003720080001","2009-04-08","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","350-7272","0","","서울특별시 은평구 대조동 ***번지 이천일아울렛 *층 ","서울특별시 은평구 불광로 ** (대조동,이천일아울렛 *층)","","쿨펫동물병원","2013-04-10 17:30:10","I","2022-05-27 00:00:00.0","","193661.732383169    ","456379.193899276    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720080002","2008-06-10","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","359-0456","","","서울특별시 은평구 불광동 ***-*번지 ","서울특별시 은평구 통일로 ***-* (불광동)","","은평애견백화점","2017-09-29 14:08:06","I","2022-05-27 00:00:00.0","","193211.220659405    ","457149.350968864    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720090001","2009-12-04","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","356-3375","0","","서울특별시 은평구 응암동 **-*번지 이마트 *층 ","서울특별시 은평구 은평로 *** (응암동,이마트 *층)","","펫프렌즈동물병원 은평","2013-04-10 17:28:24","I","2022-05-27 00:00:00.0","","192882.837727443    ","455340.54056388     ","동물관련영업","판매(일반) ","","L00","0"
"3110000","311000003720100001","2010-06-03","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 은평구 갈현동 ***-*번지 ","서울특별시 은평구 갈현로 *** (갈현동)","","강아지야 놀자","2019-04-30 20:08:58","U","2022-05-27 00:00:00.0","","192461.989032033    ","457392.447225178    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720100002","2010-11-12","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","3157-1657","0","","서울특별시 은평구 갈현동 ***-** ","서울특별시 은평구 갈현로 *** (갈현동)","","앤젤퍼피","2021-03-02 10:37:37","U","2022-05-27 00:00:00.0","","192647.478411454    ","458080.54397743     ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720110001","2011-05-18","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","388-1317","0","","서울특별시 은평구 갈현동 ***-*번지 *층 ","서울특별시 은평구 갈현로 *** (갈현동,*층)","","러브펫","2014-12-31 17:24:23","I","2022-05-27 00:00:00.0","","192563.153718835    ","457704.115314695    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720110002","2011-08-01","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","356-7179","0","","서울특별시 은평구 불광동 ***-*번지 ","서울특별시 은평구 불광로 ** (불광동)","03355","고인걸애견미용?","2015-12-08 16:18:26","I","2022-05-27 00:00:00.0","","193948.481525933    ","456910.894080245    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130001","2013-02-26","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 신사동 **-**번지 *층 ","서울특별시 은평구 증산로 *** (신사동)","03451","치포팸","2015-08-17 12:44:10","I","2022-05-27 00:00:00.0","","192378.231401976    ","454791.136001539    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130002","2011-09-28","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-356-3375","0","","서울특별시 은평구 응암동 **-*번지 이마트 *층 ","서울특별시 은평구 은평로 ***, *층 (응암동, 이마트)","03461","쿨펫동물병원 은평점","2015-03-10 11:19:21","I","2022-05-27 00:00:00.0","","192882.837727443    ","455340.54056388     ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130003","2011-11-04","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-6338-7142","0","","서울특별시 은평구 역촌동 **-**번지 ","서울특별시 은평구 서오릉로 ** (역촌동)","03404","제니 펫 살롱","2013-07-14 10:11:55","I","2022-05-27 00:00:00.0","","192961.495459069    ","456191.757559834    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130004","2011-11-04","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-350-7272","0","","서울특별시 은평구 대조동 ***번지 팜스퀘어 *층 ","서울특별시 은평구 불광로 ** (대조동)","03397","쿨펫동물병원","2016-12-02 18:32:05","I","2022-05-27 00:00:00.0","","193661.732383169    ","456379.193899276    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130005","2011-12-08","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-355-8575","0","","서울특별시 은평구 역촌동 **-**번지 ","서울특별시 은평구 진흥로 ** (역촌동)","03409","자미원 애견","2018-12-18 14:45:57","U","2022-05-27 00:00:00.0","","192636.223179119    ","455316.428545363    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130006","2012-03-26","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-388-2533","0","","서울특별시 은평구 진관동 **번지 롯데캐슬아파트 ***동 ***호 ","서울특별시 은평구 진관*로 ** (진관동)","03302","강아지풀","2018-01-31 15:56:49","I","2022-05-27 00:00:00.0","","193103.427054842    ","459986.856034813    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130007","2012-06-15","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 대조동 *** 팜스퀘어 지하*층 ","서울특별시 은평구 불광로 ** (대조동)","03397","지오아쿠아","2021-05-07 17:18:31","U","2022-05-27 00:00:00.0","","193661.732383169    ","456379.193899276    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130008","2013-05-21","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-355-7775","0","","서울특별시 은평구 대조동 ***-*번지 ","서울특별시 은평구 통일로 ***-* (대조동)","03390","드림동물나라","2016-03-30 13:01:47","I","2022-05-27 00:00:00.0","","193244.450328833    ","457041.588034585    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130009","2012-08-23","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-380-1054","0","","서울특별시 은평구 응암동 **-*번지 *층 ","서울특별시 은평구 은평로 ***, *층 (응암동)","03461","로얄수족관(본사: 2690-7311)","2019-04-30 16:46:01","U","2022-05-27 00:00:00.0","","192882.837727443    ","455340.54056388     ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130010","2012-08-22","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-6943-1052","0","","서울특별시 은평구 수색동 **번지 *층 ","서울특별시 은평구 수색로 ***, *층 (수색동)","03504","로얄 수족관(본사: 2690-7311)","2019-04-30 16:46:14","U","2022-05-27 00:00:00.0","","190977.850603548    ","453037.787995874    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720130011","2013-11-21","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","070-8269-0909","0","","서울특별시 은평구 역촌동 **-**번지 지하*층 ","서울특별시 은평구 연서로*길 **, 지하*층 (역촌동)","03415","왈왈","2015-08-17 12:43:10","I","2022-05-27 00:00:00.0","","192215.455804859    ","456121.497240358    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140001","2014-02-14","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-6338-7142","0","","서울특별시 은평구 역촌동 **-**번지 ","서울특별시 은평구 서오릉로 ** (역촌동)","03404","제니펫살롱","2014-06-05 16:08:35","I","2022-05-27 00:00:00.0","","192961.495459069    ","456191.757559834    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140002","2014-06-24","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 역촌동 **-**번지 ","서울특별시 은평구 서오릉로 ** (역촌동)","03404","Pet#","2014-06-24 14:33:36","I","2022-05-27 00:00:00.0","","192961.495459069    ","456191.757559834    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140003","2014-07-04","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-308-8494","0","","서울특별시 은평구 수색동 **-**번지 ***호","서울특별시 은평구 수색로 ***-*, ***호 (수색동)","03505","디지탈디자인(INTERZOO)","2015-08-07 16:25:39","I","2022-05-27 00:00:00.0","","191040.327177392    ","452926.321686795    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140004","2014-08-20","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-382-8654","0","","서울특별시 은평구 불광동 ***-*번지 롯데슈퍼 *층 ","서울특별시 은평구 통일로 ***-*, *층 (불광동, 롯데슈퍼)","03350","에이플코리아(주) 범서점 롯데슈퍼내","2015-06-26 15:54:47","I","2022-05-27 00:00:00.0","","193035.279146132    ","457365.911737494    ","동물관련영업","판매(일반) ","","L00","0"
"3110000","311000003720140005","2014-11-06","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","070-4685-1318","0","","서울특별시 은평구 갈현동 ***-**번지 ","서울특별시 은평구 갈현로 *** (갈현동)","03328","Kitty fam","2019-12-31 18:10:59","U","2022-05-27 00:00:00.0","","192624.633299948    ","457978.243527307    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140006","2014-11-06","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-383-3351","0","","서울특별시 은평구 녹번동 **-**번지 ","서울특별시 은평구 통일로 *** (녹번동)","03382","대송애견샵","2015-08-17 12:45:00","I","2022-05-27 00:00:00.0","","194172.041254505    ","455571.733417973    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140007","2014-11-21","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 응암동 ***-**번지 *층 ","서울특별시 은평구 가좌로 *** (응암동)","03484","해피투개독","2014-12-31 13:30:37","I","2022-05-27 00:00:00.0","","192437.66396064     ","454353.018154981    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720140008","2014-11-27","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","02-308-8494","0","","서울특별시 은평구 수색동 **-**번지 ***호","서울특별시 은평구 수색로 ***-*, ***호 (수색동)","03505","디지탈디자인(INTERZOO)","2015-08-07 16:26:03","I","2022-05-27 00:00:00.0","","191040.327177392    ","452926.321686795    ","동물관련영업","수입 ","","000","0"
"3110000","311000003720150001","2015-01-13","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 응암동 ***-**번지 *층 ","서울특별시 은평구 가좌로 ***, *층 (응암동)","03484","런닝독","2015-06-01 15:21:09","I","2022-05-27 00:00:00.0","","192437.66396064     ","454353.018154981    ","동물관련영업","판매(일반) ","","000","0"
"3110000","311000003720150002","2015-04-30","","04","취소/말소/만료/정지/중지","0004","말소","2022-05-26","","","","","0","","서울특별시 은평구 역촌동 **-**번지 ","서울특별시 은평구 갈현로 ** (역촌동)","03432","톰스캣","2019-10-17 17:29:47","U","2022-05-27 00:00:00.0","","192001.271821027    ","455595.889045616    ","동물관련영업","판매(일반) ","","000","0"
