자치구명,법정동명,등록동물수(마리),등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일
종로구,계동,90,20,71,1.27,88,2024-07-29
종로구,재동,7,3,6,1.17,6,2024-07-29
종로구,평동,56,17,44,1.27,51,2024-07-29
종로구,화동,10,6,10,1,10,2024-07-29
종로구,가회동,110,40,71,1.55,107,2024-07-29
종로구,견지동,18,8,13,1.38,18,2024-07-29
종로구,경운동,16,10,13,1.23,16,2024-07-29
종로구,공평동,2,1,1,2,2,2024-07-29
종로구,관수동,1,1,1,1,1,2024-07-29
종로구,관철동,8,5,6,1.33,8,2024-07-29
종로구,관훈동,3,3,3,1,3,2024-07-29
종로구,교남동,2,2,2,1,2,2024-07-29
종로구,교북동,46,16,38,1.21,44,2024-07-29
종로구,구기동,623,65,438,1.42,608,2024-07-29
종로구,궁정동,11,6,9,1.22,11,2024-07-29
종로구,권농동,25,11,16,1.56,25,2024-07-29
종로구,낙원동,35,15,26,1.35,33,2024-07-29
종로구,내수동,220,41,155,1.42,217,2024-07-29
종로구,내자동,14,8,11,1.27,14,2024-07-29
종로구,누상동,243,34,188,1.29,235,2024-07-29
종로구,누하동,75,27,58,1.29,72,2024-07-29
종로구,당주동,23,14,15,1.53,22,2024-07-29
종로구,도렴동,2,2,2,1,2,2024-07-29
종로구,돈의동,34,12,21,1.62,33,2024-07-29
종로구,동숭동,328,42,255,1.29,323,2024-07-29
종로구,무악동,503,42,397,1.27,498,2024-07-29
종로구,봉익동,2,2,2,1,2,2024-07-29
종로구,부암동,557,72,385,1.45,545,2024-07-29
종로구,사간동,20,11,15,1.33,20,2024-07-29
종로구,사직동,279,36,211,1.32,275,2024-07-29
종로구,삼청동,129,35,92,1.4,125,2024-07-29
종로구,서린동,23,13,17,1.35,19,2024-07-29
종로구,세종로,43,18,36,1.19,41,2024-07-29
종로구,소격동,18,11,13,1.38,18,2024-07-29
종로구,송월동,4,3,3,1.33,4,2024-07-29
종로구,수송동,36,9,25,1.44,35,2024-07-29
종로구,숭인동,1086,67,816,1.33,1062,2024-07-29
종로구,신교동,101,30,82,1.23,98,2024-07-29
종로구,신영동,341,47,259,1.32,324,2024-07-29
종로구,안국동,16,11,13,1.23,16,2024-07-29
종로구,연건동,71,22,57,1.25,70,2024-07-29
종로구,연지동,40,19,28,1.43,38,2024-07-29
종로구,예지동,1,1,1,1,1,2024-07-29
종로구,옥인동,172,33,137,1.26,167,2024-07-29
종로구,와룡동,9,6,5,1.8,8,2024-07-29
종로구,운니동,9,7,7,1.29,9,2024-07-29
종로구,원남동,38,17,24,1.58,33,2024-07-29
종로구,원서동,133,25,105,1.27,127,2024-07-29
종로구,이화동,130,26,92,1.41,130,2024-07-29
종로구,익선동,51,20,39,1.31,51,2024-07-29
종로구,인사동,8,5,5,1.6,8,2024-07-29
종로구,인의동,69,20,48,1.44,69,2024-07-29
종로구,장사동,3,3,2,1.5,3,2024-07-29
종로구,적선동,11,9,10,1.1,11,2024-07-29
종로구,창성동,35,11,21,1.67,34,2024-07-29
종로구,창신동,1352,59,972,1.39,1316,2024-07-29
종로구,청운동,195,42,147,1.33,188,2024-07-29
종로구,청진동,2,2,2,1,2,2024-07-29
종로구,체부동,67,28,53,1.26,66,2024-07-29
종로구,충신동,181,33,131,1.38,176,2024-07-29
종로구,통의동,34,19,26,1.31,31,2024-07-29
종로구,통인동,72,23,49,1.47,72,2024-07-29
종로구,팔판동,33,19,27,1.22,33,2024-07-29
종로구,평창동,1332,86,921,1.45,1273,2024-07-29
종로구,필운동,50,20,40,1.25,48,2024-07-29
종로구,행촌동,248,41,190,1.31,243,2024-07-29
종로구,혜화동,223,37,167,1.34,219,2024-07-29
종로구,홍지동,151,33,109,1.39,151,2024-07-29
종로구,홍파동,192,31,137,1.4,190,2024-07-29
종로구,효자동,54,23,42,1.29,52,2024-07-29
종로구,효제동,27,13,21,1.29,26,2024-07-29
종로구,명륜1가,250,45,200,1.25,239,2024-07-29
종로구,명륜2가,220,37,152,1.45,218,2024-07-29
종로구,명륜3가,313,49,240,1.3,308,2024-07-29
종로구,명륜4가,60,21,47,1.28,60,2024-07-29
종로구,종로1가,13,9,11,1.18,12,2024-07-29
종로구,종로3가,1,1,1,1,1,2024-07-29
종로구,종로4가,3,3,3,1,2,2024-07-29
종로구,종로5가,11,9,8,1.38,11,2024-07-29
종로구,종로6가,44,18,31,1.42,43,2024-07-29
종로구,신문로1가,7,6,6,1.17,7,2024-07-29
종로구,신문로2가,65,21,44,1.48,65,2024-07-29
,,,,,,,
