자치구명,법정동명,등록동물수(마리),등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
송파구,가락동,3891,87,3187,1.22,7,2024-06-30
송파구,거여동,2015,78,1597,1.26,6,2024-06-30
송파구,마천동,2104,69,1598,1.32,8,2024-06-30
송파구,문정동,3707,96,3015,1.23,12,2024-06-30
송파구,방이동,3652,83,2840,1.29,10,2024-06-30
송파구,삼전동,2170,73,1662,1.31,8,2024-06-30
송파구,석촌동,2101,80,1564,1.34,4,2024-06-30
송파구,송파동,2403,76,1876,1.28,3,2024-06-30
송파구,신천동,1868,69,1591,1.17,3,2024-06-30
송파구,오금동,2023,84,1646,1.23,3,2024-06-30
송파구,잠실동,5888,101,4832,1.22,8,2024-06-30
송파구,장지동,2023,77,1668,1.21,4,2024-06-30
송파구,풍납동,1859,76,1513,1.23,6,2024-06-30
