읍면동(법정동),내장형 무선식별(RFID),외장형 무선식별(RFID),인식표 무선식별(RFID),동물등록수합계(마리),동물소유자수(명)
당산동,159,137,26,322,271
대림동,1160,1249,316,2725,2178
도림동,512,439,89,1040,830
신길동,2511,2235,557,5303,4212
여의도동,889,852,323,2064,1659
영등포동,356,304,61,721,567
당산동1가,204,157,42,403,310
당산동2가,122,134,21,277,217
당산동3가,261,219,29,509,400
당산동4가,263,250,50,563,462
당산동5가,245,304,58,607,497
당산동6가,99,93,17,209,159
문래동1가,4,7,1,12,10
문래동2가,35,25,2,62,45
문래동3가,402,301,48,751,503
문래동4가,41,51,4,96,74
문래동5가,89,126,15,230,185
문래동6가,207,244,34,485,405
양평동1가,123,126,20,269,199
양평동2가,162,156,38,356,283
양평동3가,242,255,38,535,440
양평동4가,169,145,21,335,285
양평동5가,152,133,29,314,248
양평동6가,134,118,38,290,217
영등포동1가,78,67,4,149,121
영등포동2가,118,93,16,227,175
영등포동3가,49,41,4,94,61
영등포동4가,61,49,6,116,88
영등포동5가,68,40,8,116,86
영등포동6가,58,48,6,112,79
영등포동7가,227,179,27,433,334
영등포동8가,115,116,8,239,198
