No,분류,분류,분류,2024년 3분기,2024년 3분기,2024년 3분기,2024년 4분기,2024년 4분기,2024년 4분기,2025년 1분기,2025년 1분기,2025년 1분기
No,분류,분류,분류,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%
1,전국,전국,전국,0.59,0.21,0.80,0.74,0.05,0.80,0.73,0.00,0.74
2,서울,서울,서울,0.32,0.91,1.24,0.49,0.83,1.32,0.48,0.73,1.21
3,서울,도심,도심,0.35,0.81,1.16,0.54,0.72,1.26,0.54,0.58,1.12
4,서울,도심,광화문,0.40,0.92,1.32,0.58,0.78,1.36,0.56,0.71,1.28
5,서울,도심,남대문,0.32,0.67,0.99,0.45,1.04,1.49,0.44,0.59,1.02
6,서울,도심,동대문,0.36,0.67,1.03,0.55,0.55,1.10,0.59,0.51,1.09
7,서울,도심,명동,0.23,0.79,1.02,0.43,0.70,1.13,0.45,0.49,0.94
8,서울,도심,방산시장,0.50,0.66,1.17,0.68,0.64,1.32,0.64,0.44,1.07
9,서울,도심,북촌,0.33,1.17,1.50,0.70,0.70,1.39,0.65,0.55,1.20
10,서울,도심,서촌,0.42,1.03,1.45,0.57,0.81,1.38,0.57,0.74,1.31
11,서울,도심,시청,0.34,0.79,1.13,0.55,0.61,1.16,0.54,0.51,1.05
12,서울,도심,을지로,0.30,0.77,1.08,0.52,0.67,1.19,0.52,0.44,0.96
13,서울,도심,종로,0.35,0.92,1.27,0.52,0.82,1.34,0.52,0.71,1.22
14,서울,도심,충무로,0.36,0.76,1.12,0.54,0.64,1.18,0.54,0.58,1.12
15,서울,강남,강남,0.16,1.76,1.91,0.34,1.49,1.82,0.33,1.15,1.49
16,서울,강남,강남대로,0.04,2.03,2.07,0.27,1.53,1.79,0.21,1.87,2.09
17,서울,강남,교대역,0.01,1.65,1.66,0.22,1.17,1.39,0.22,1.47,1.69
18,서울,강남,남부터미널,0.20,1.37,1.57,0.36,0.98,1.34,0.35,0.91,1.27
19,서울,강남,논현역,0.29,1.21,1.49,0.41,1.28,1.69,0.42,1.15,1.57
20,서울,강남,도산대로,0.03,2.04,2.07,0.24,1.54,1.78,0.26,1.34,1.60
21,서울,강남,신사역,0.20,1.22,1.42,0.38,1.46,1.85,0.37,1.22,1.59
22,서울,강남,압구정,0.18,1.90,2.08,0.31,1.50,1.81,0.31,0.54,0.85
