기준_년분기_코드,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수
20241,평창동,애완동물,494295,12
20241,종로5·6가동,애완동물,9211476,569
20241,창신1동,애완동물,719589207,14773
20241,회현동,애완동물,1141605095,7643
20241,한강로동,애완동물,9182494,86
20241,보광동,애완동물,26970180,1803
20241,왕십리도선동,애완동물,89637417,2723
20241,행당1동,애완동물,63733626,1490
20241,금호4가동,애완동물,14511225,812
20241,성수2가1동,애완동물,242345416,3493
20241,용답동,애완동물,58351181,2898
20241,중곡1동,애완동물,91392477,8501
20241,중곡3동,애완동물,35977610,2061
20241,중곡4동,애완동물,13547799,760
20241,광장동,애완동물,24238055,537
20241,구의1동,애완동물,603987499,783
20241,구의2동,애완동물,15088196,412
20241,구의3동,애완동물,22488010,109
20241,제기동,애완동물,248647011,10184
20241,전농1동,애완동물,10671239,523
20241,답십리2동,애완동물,16751914,780
20241,장안1동,애완동물,49186374,2074
20241,이문1동,애완동물,14694581,261
20241,면목2동,애완동물,28646952,1033
20241,면목본동,애완동물,145689214,7077
20241,면목7동,애완동물,244475820,13255
20241,면목3·8동,애완동물,3747569,137
20241,상봉1동,애완동물,132218684,3914
20241,상봉2동,애완동물,114342702,72
20241,중화1동,애완동물,30456950,451
20241,중화2동,애완동물,18196222,954
20241,망우3동,애완동물,24624438,842
20241,신내1동,애완동물,3061176,59
20241,삼선동,애완동물,135765448,6994
20241,동선동,애완동물,19761487,518
20241,정릉2동,애완동물,27708589,1908
20241,정릉4동,애완동물,67517350,2317
20241,길음2동,애완동물,13234671,496
20241,종암동,애완동물,5326449,144
20241,석관동,애완동물,13016938,704
20241,미아동,애완동물,9005749,490
20241,번1동,애완동물,5873449,268
20241,수유1동,애완동물,62234284,3528
20241,수유3동,애완동물,85641697,2424
20241,인수동,애완동물,12162587,360
20241,창1동,애완동물,30232315,1801
20241,쌍문3동,애완동물,150000000,7765
20241,쌍문4동,애완동물,4839619,87
20241,방학1동,애완동물,77885877,2796
20241,방학2동,애완동물,317187670,17344
20241,공릉1동,애완동물,34041615,1195
20241,상계1동,애완동물,16941487,493
20241,상계2동,애완동물,116322625,655
20241,상계5동,애완동물,457824716,18817
20241,상계6·7동,애완동물,10947368,251
20241,불광1동,애완동물,41748796,1468
20241,불광2동,애완동물,2595909,50
20241,갈현2동,애완동물,33891450,1981
20241,대조동,애완동물,270286043,12149
20241,응암1동,애완동물,40015898,640
20241,신사1동,애완동물,6536839,700
20241,천연동,애완동물,27468817,1324
20241,연희동,애완동물,28243278,418
20241,홍제3동,애완동물,5721300,231
20241,홍은1동,애완동물,4925996,167
20241,홍은2동,애완동물,28342016,637
20241,남가좌2동,애완동물,29834854,1092
20241,아현동,애완동물,111422259,2375
20241,공덕동,애완동물,13750721,403
20241,대흥동,애완동물,68748400,2122
20241,서강동,애완동물,61324044,40
20241,서교동,애완동물,143880149,1772
20241,합정동,애완동물,15473124,257
20241,망원1동,애완동물,117000000,7358
20241,망원2동,애완동물,2204914,58
20241,연남동,애완동물,5764378,89
20241,성산1동,애완동물,762480137,24931
20241,성산2동,애완동물,21341033,462
20241,상암동,애완동물,87039,44
20241,목1동,애완동물,113153709,1259
20241,목3동,애완동물,43259453,1375
20241,신월1동,애완동물,74283944,3343
20241,신월2동,애완동물,49126467,1709
20241,신월7동,애완동물,67355765,2961
20241,신정2동,애완동물,12247420,480
20241,신정4동,애완동물,15253089,24
20241,등촌1동,애완동물,3991143,92
20241,등촌3동,애완동물,50900266,1820
20241,화곡1동,애완동물,30430424,398
20241,화곡2동,애완동물,2191386,52
20241,화곡3동,애완동물,9057646,246
20241,화곡4동,애완동물,199178453,13964
20241,우장산동,애완동물,29181873,132
20241,방화1동,애완동물,19300638,875
20241,방화2동,애완동물,55657894,1831
20241,구로2동,애완동물,5421028,59
20241,개봉1동,애완동물,8103390,261
20241,가산동,애완동물,328943322,4316
20241,시흥1동,애완동물,77909514,3585
20241,시흥3동,애완동물,4848692,120
20241,시흥4동,애완동물,2246030,40
20241,영등포본동,애완동물,22477077,571
20241,영등포동,애완동물,223246541,2932
20241,문래동,애완동물,23754779,423
20241,양평2동,애완동물,45518516,1410
20241,신길6동,애완동물,4670690,108
20241,대림1동,애완동물,8787422,388
20241,상도1동,애완동물,9030157,159
20241,상도4동,애완동물,27275611,1634
20241,사당2동,애완동물,41175855,621
20241,청룡동,애완동물,59556147,2919
20241,은천동,애완동물,9290760,435
20241,중앙동,애완동물,12397345,261
20241,인헌동,애완동물,25723327,1219
20241,신원동,애완동물,195744882,8338
20241,신사동,애완동물,4463186,155
20241,신림동,애완동물,79012753,1823
20241,조원동,애완동물,61800643,846
20241,미성동,애완동물,48602113,1853
20241,서초3동,애완동물,9362833,191
20241,잠원동,애완동물,73103587,356
20241,방배2동,애완동물,19426604,528
20241,양재1동,애완동물,40307349,1738
20241,신사동,애완동물,140762058,599
20241,논현1동,애완동물,62115857,726
20241,논현2동,애완동물,21838700,841
20241,청담동,애완동물,399869821,2367
20241,삼성1동,애완동물,26986240,208
20241,삼성2동,애완동물,84536631,480
20241,대치2동,애완동물,92447083,3500
20241,역삼1동,애완동물,442665978,863
20241,도곡1동,애완동물,844702,87
20241,풍납1동,애완동물,3878360,172
20241,거여2동,애완동물,1701664,60
20241,마천1동,애완동물,17345893,473
20241,마천2동,애완동물,7883559,332
20241,방이2동,애완동물,122724198,364
20241,송파2동,애완동물,8054000,229
20241,삼전동,애완동물,68549531,1495
20241,가락본동,애완동물,8978035,152
20241,가락2동,애완동물,42287228,831
20241,장지동,애완동물,15446007,571
20241,잠실본동,애완동물,333882227,8545
20241,명일1동,애완동물,93109548,5446
20241,암사1동,애완동물,9460777,179
20241,천호2동,애완동물,253716631,460
20241,성내3동,애완동물,71658810,603
20241,길동,애완동물,2982646,54
20241,둔촌2동,애완동물,203028424,5944
20242,평창동,애완동물,988591,16
20242,종로5·6가동,애완동물,10742831,597
20242,창신1동,애완동물,843445362,16418
20242,회현동,애완동물,512318471,6752
20242,한강로동,애완동물,7722543,119
20242,보광동,애완동물,14940475,579
20242,왕십리도선동,애완동물,75420504,4088
20242,행당1동,애완동물,56984412,1571
20242,금호4가동,애완동물,12726915,787
20242,성수2가1동,애완동물,221335542,3928
20242,용답동,애완동물,52982387,3261
20242,중곡1동,애완동물,91345503,8858
20242,중곡3동,애완동물,27524837,1832
20242,중곡4동,애완동물,14015688,803
20242,광장동,애완동물,26859422,418
20242,구의1동,애완동물,409009411,423
20242,구의2동,애완동물,49715272,371
20242,구의3동,애완동물,53832823,174
20242,제기동,애완동물,321895391,11865
20242,전농1동,애완동물,8673760,411
20242,답십리2동,애완동물,17701811,813
20242,장안1동,애완동물,56612167,2150
20242,이문1동,애완동물,12417392,225
20242,면목2동,애완동물,34054641,963
20242,면목본동,애완동물,136601695,7098
20242,면목7동,애완동물,252459288,13620
20242,면목3·8동,애완동물,6232221,248
20242,상봉1동,애완동물,131525040,4263
20242,상봉2동,애완동물,21078291,14
20242,중화1동,애완동물,956351,169
20242,중화2동,애완동물,18254072,1111
20242,망우3동,애완동물,28609796,784
20242,신내1동,애완동물,4158324,76
20242,삼선동,애완동물,138080004,7167
20242,동선동,애완동물,20180811,583
20242,정릉2동,애완동물,31395879,2277
20242,정릉4동,애완동물,62180815,2409
20242,길음2동,애완동물,17942132,494
20242,종암동,애완동물,6845719,165
20242,석관동,애완동물,9651309,569
20242,미아동,애완동물,7027340,396
20242,번1동,애완동물,7001282,335
20242,수유1동,애완동물,60000966,3255
20242,수유3동,애완동물,94378017,2432
20242,인수동,애완동물,16348835,409
20242,창1동,애완동물,36982555,1850
20242,쌍문3동,애완동물,150000000,8267
20242,쌍문4동,애완동물,4719347,87
20242,방학1동,애완동물,119410248,3657
20242,방학2동,애완동물,311439988,15209
20242,공릉1동,애완동물,49094444,1183
20242,상계1동,애완동물,18949238,516
20242,상계2동,애완동물,75259262,567
20242,상계5동,애완동물,465720329,18309
20242,상계6·7동,애완동물,11368421,352
20242,불광1동,애완동물,40237318,1316
20242,불광2동,애완동물,4536540,80
20242,갈현2동,애완동물,40369650,2593
20242,대조동,애완동물,279758224,11669
