FCLTY_NM,LC_LA,LC_LO,LNM_ADDR,GU,DONG,FCLTY_INFO_DC,면적,시설수
100세약국,37.53325958,126.903741,서울특별시,영등포구,당산2동,동물약국,1.55,13.0
100코달리 와인바,37.56330525,127.016417,서울특별시,중구,신당동,반려동물카페,0.55,24.0
1층메디컬약국,37.45304289,126.901712,서울특별시,금천구,시흥1동,동물약국,1.71,31.0
1층이화약국,37.5665905,127.024082,서울특별시,성동구,왕십리2동,동물약국,0.41,7.0
21세기동물병원,37.52831582,126.999196,서울특별시,용산구,보광동,동물병원,0.71,6.0
21C 세계로약국,37.54204619,126.840751,서울특별시,강서구,화곡1동,동물약국,1.12,69.0
24시 강서 젠틀리동물의료센터,37.55904001,126.820063,서울특별시,강서구,가양1동,동물병원,4.7,44.0
24시 굿케어동물의료센터,37.48000009,126.956867,서울특별시,관악구,보라매동,동물병원,0.76,68.0
24시 글로리 동물병원,37.47674386,126.898256,서울특별시,금천구,독산1동,동물병원,2.09,26.0
24시 동물응급의료센터,37.59532179,127.079577,서울특별시,중랑구,중화1동,동물병원,0.64,11.0
24시 명동물메디컬센터,37.50156787,126.847162,서울특별시,구로구,개봉1동,동물병원,1.31,23.0
24시 산들산들 동물병원,37.55097463,126.956497,서울특별시,마포구,아현동,동물병원,0.76,26.0
24시 서울 탑 동물병원,37.51774297,126.853643,서울특별시,양천구,신수동,동물병원,0.78,46.0
24시 스마트동물병원,37.52069647,127.029989,서울특별시,강남구,신사1동,동물병원,0.84,62.0
24시 시유동물메디컬센터,37.52000492,126.969872,서울특별시,용산구,이촌1동,동물병원,2.86,4.0
24시 신도림S동물의료센터,37.50688385,126.884037,서울특별시,구로구,신도림동,동물병원,1.47,9.0
24시 안박동물병원,37.56011704,126.856339,서울특별시,강서구,등촌1동,동물병원,0.64,25.0
24시 애니동물병원,37.58399292,127.019824,서울특별시,성북구,보문동,동물병원,0.56,5.0
24시 지구촌 동물메디컬 센터,37.49878906,126.884786,서울특별시,구로구,구로1동,동물병원,1.02,35.0
24시 청담우리 동물병원,37.51449135,127.052853,서울특별시,강남구,삼성1동,동물병원,1.94,42.0
24시 SNC 동물메디컬센터,37.4974084,127.038878,서울특별시,강남구,역삼1동,동물병원,2.35,71.0
24시루시드동물메디컬센터,37.60958992,127.030683,서울특별시,강북구,삼양동,동물병원,0.91,58.0
24시센트럴동물메디컬센터,37.5586754,127.033737,서울특별시,성동구,사근동,동물병원,1.1,19.0
24시스마트동물메디컬센터,37.59978536,126.918127,서울특별시,은평구,응암1동,동물병원,1.2,33.0
24시아프리카동물메디컬센터,37.55820284,126.844923,서울특별시,강서구,등촌1동,동물병원,0.64,25.0
24시연동물의료센터,37.54293761,126.842277,서울특별시,강서구,화곡1동,동물병원,1.12,69.0
24시예담동물의료센터,37.60958089,126.916793,서울특별시,은평구,역촌동,동물병원,1.16,15.0
24시예스동물병원,37.5071157,127.009873,서울특별시,서초구,반포본동,동물병원,1.01,22.0
24시잠실ON동물의료센터,37.51156036,127.079181,서울특별시,송파구,잠실본동,동물병원,0.94,36.0
24시OK동물병원,37.49556174,127.049817,서울특별시,강남구,역삼1동,동물병원,2.35,71.0
24시SD동물영상의료센터,37.56478,127.02471,서울특별시,중구,신당동,동물병원,0.55,24.0
25시동물병원,37.64777726,127.077579,서울특별시,노원구,중계본동,동물병원,1.97,29.0
