구,dong,펫프렌들리지수
송파구,가락1동,0.15055972735708237
송파구,가락2동,0.09832497413929715
송파구,가락본동,0.15345414585510064
구로구,가리봉동,0.076219162885499
금천구,가산동,0.11428156806732458
강서구,가양1동,0.09055273172026486
강서구,가양2동,0.09140654651090183
강서구,가양3동,0.19241885928706362
종로구,가회동,0.15575950214622275
은평구,갈현1동,0.077808513777065
은평구,갈현2동,0.12271516544299804
강동구,강일동,0.046264869509305945
구로구,개봉1동,0.1022844403906273
구로구,개봉2동,0.09213902326519013
구로구,개봉3동,0.06743403380989618
강남구,개포1동,0.04256886177921745
강남구,개포2동,0.05565776361698099
강남구,개포3동,0.05381673943952317
강남구,개포4동,0.07123017387168096
송파구,거여1동,0.07614621739496485
송파구,거여2동,0.07128994153414568
강동구,고덕1동,0.03939433271454311
강동구,고덕2동,0.05732116763188058
구로구,고척1동,0.10454766879350191
구로구,고척2동,0.054395091336390124
마포구,공덕동,0.1126065788119056
노원구,공릉1동,0.2794123159051505
노원구,공릉2동,0.07977901610764852
강서구,공항동,0.09450883769652789
광진구,광장동,0.05857325044564816
중구,광희동,0.11429734157253481
종로구,교남동,0.3980639742497951
구로구,구로1동,0.07342675591307837
구로구,구로2동,0.0609483759738029
구로구,구로3동,0.08768167862827501
구로구,구로4동,0.09303961881205394
구로구,구로5동,0.1232131215584612
은평구,구산동,0.05254312309607338
광진구,구의1동,0.09582017702842419
광진구,구의2동,0.05789274254974106
광진구,구의3동,0.06744392777106265
광진구,군자동,0.07390329950281753
성동구,금호1가동,0.03644618183645422
성동구,금호2·3가동,0.09242714639122988
성동구,금호4가동,0.07749040886539935
강동구,길동,0.08004124652011665
성북구,길음1동,0.07814720869835176
성북구,길음2동,0.13370397649710497
관악구,낙성대동,0.0774882863117646
관악구,난곡동,0.0814717743450378
관악구,난향동,0.06871681076661154
서대문구,남가좌1동,0.10269942722608168
서대문구,남가좌2동,0.08201932719124144
용산구,남영동,0.08891813199024656
관악구,남현동,0.08325650033642165
서초구,내곡동,0.18076473046155553
동작구,노량진1동,0.042527185388728406
동작구,노량진2동,0.04522353242074835
은평구,녹번동,0.10260299842275133
강남구,논현1동,0.2277761628923556
강남구,논현2동,0.12512894730732524
광진구,능동,0.054644790456074656
중구,다산동,0.17257351556988154
동대문구,답십리1동,0.056726116795027925
동대문구,답십리2동,0.029051891138448315
영등포구,당산1동,0.117033247291633
영등포구,당산2동,0.1787053789596226
영등포구,대림1동,0.16640160785036248
영등포구,대림2동,0.08508689085627658
영등포구,대림3동,0.08208940306149977
동작구,대방동,0.05948954918884932
은평구,대조동,0.14587941854954387
강남구,대치1동,0.12270271256322637
강남구,대치2동,0.0875104341991865
강남구,대치4동,0.15985576474743696
관악구,대학동,0.08076513355991741
마포구,대흥동,0.09452639202252919
강남구,도곡1동,0.08794898294108078
강남구,도곡2동,0.11088853508874166
영등포구,도림동,0.06616812814194306
도봉구,도봉1동,0.09475423598135707
도봉구,도봉2동,0.0722528214485017
마포구,도화동,0.10428991652751063
금천구,독산1동,0.1437235852706322
금천구,독산2동,0.0671737878623369
금천구,독산3동,0.10049966145239435
금천구,독산4동,0.060630704575319785
성북구,돈암1동,0.053998256432977995
성북구,돈암2동,0.04710216354977209
성북구,동선동,0.13957397296694546
