동별(1),구,행정동,면적,구성비 (%),행정,법정,소계,소계.1,녹지총면적,녹지총면적
서울시,소계,소계,605.2,100.0,426.0,467,12926.0,96663.0,,
서울시,종로구,소계,23.91,3.95,17.0,87,279.0,1475.0,228451.0,228451.0
서울시,종로구,사직동,1.23,0.2,1.0,12,16.0,68.0,228451.0,228451.0
서울시,종로구,삼청동,1.49,0.25,1.0,7,10.0,42.0,228451.0,228451.0
서울시,종로구,부암동,2.27,0.38,1.0,3,18.0,98.0,228451.0,228451.0
서울시,종로구,평창동,8.87,1.47,1.0,2,19.0,147.0,228451.0,228451.0
서울시,종로구,무악동,0.36,0.06,1.0,1,12.0,71.0,228451.0,228451.0
서울시,종로구,교남동,0.35,0.06,1.0,6,18.0,96.0,228451.0,228451.0
서울시,종로구,가회동,0.54,0.09,1.0,4,11.0,57.0,228451.0,228451.0
서울시,종로구,종로1.2.3.4가동,2.35,0.39,1.0,28,21.0,67.0,228451.0,228451.0
서울시,종로구,종로5.6가동,0.6,0.1,1.0,5,16.0,65.0,228451.0,228451.0
서울시,종로구,이화동,0.78,0.13,1.0,3,14.0,89.0,228451.0,228451.0
서울시,종로구,혜화동,1.12,0.19,1.0,5,29.0,188.0,228451.0,228451.0
서울시,종로구,창신1동,0.31,0.05,1.0,1,13.0,67.0,228451.0,228451.0
서울시,종로구,창신2동,0.26,0.04,1.0,-,19.0,105.0,228451.0,228451.0
서울시,종로구,창신3동,0.23,0.04,1.0,-,14.0,75.0,228451.0,228451.0
서울시,종로구,숭인1동,0.23,0.04,1.0,1,11.0,66.0,228451.0,228451.0
서울시,종로구,숭인2동,0.35,0.06,1.0,-,16.0,80.0,228451.0,228451.0
서울시,종로구,청운효자동,2.57,0.42,1.0,9,22.0,94.0,228451.0,228451.0
서울시,중구,소계,9.96,1.65,15.0,74,256.0,1568.0,237726.0,237726.0
서울시,중구,소공동,0.95,0.16,1.0,11,6.0,30.0,237726.0,237726.0
서울시,중구,회현동,0.84,0.14,1.0,7,16.0,98.0,237726.0,237726.0
서울시,중구,명동,0.99,0.16,1.0,18,10.0,41.0,237726.0,237726.0
서울시,중구,필동,1.14,0.19,1.0,7,12.0,65.0,237726.0,237726.0
서울시,중구,장충동,1.36,0.22,1.0,3,9.0,48.0,237726.0,237726.0
서울시,중구,광희동,0.74,0.12,1.0,10,14.0,108.0,237726.0,237726.0
서울시,중구,을지로동,0.6,0.1,1.0,10,13.0,71.0,237726.0,237726.0
서울시,중구,신당5동,0.39,0.06,1.0,-,22.0,134.0,237726.0,237726.0
서울시,중구,황학동,0.33,0.05,1.0,1,26.0,157.0,237726.0,237726.0
서울시,중구,중림동,0.48,0.08,1.0,4,20.0,109.0,237726.0,237726.0
서울시,중구,신당동,0.55,0.09,1.0,3,19.0,98.0,237726.0,237726.0
서울시,중구,다산동,0.51,0.08,1.0,-,20.0,125.0,237726.0,237726.0
서울시,중구,약수동,0.48,0.08,1.0,-,31.0,201.0,237726.0,237726.0
서울시,중구,청구동,0.34,0.06,1.0,-,20.0,165.0,237726.0,237726.0
서울시,중구,동화동,0.26,0.04,1.0,-,18.0,118.0,237726.0,237726.0
서울시,용산구,소계,21.87,3.61,16.0,36,357.0,2599.0,372948.0,372948.0
서울시,용산구,후암동,0.86,0.14,1.0,1,23.0,179.0,372948.0,372948.0
서울시,용산구,용산2가동,1.96,0.32,1.0,2,20.0,127.0,372948.0,372948.0
서울시,용산구,남영동,1.19,0.2,1.0,4,13.0,94.0,372948.0,372948.0
서울시,용산구,원효로2동,0.71,0.12,1.0,5,22.0,148.0,372948.0,372948.0
서울시,용산구,효창동,0.44,0.07,1.0,1,13.0,97.0,372948.0,372948.0
서울시,용산구,용문동,0.28,0.05,1.0,2,17.0,121.0,372948.0,372948.0
서울시,용산구,이촌1동,2.86,0.47,1.0,1,33.0,248.0,372948.0,372948.0
서울시,용산구,이촌2동,1.22,0.2,1.0,-,14.0,96.0,372948.0,372948.0
서울시,용산구,이태원1동,0.57,0.09,1.0,1,15.0,102.0,372948.0,372948.0
서울시,용산구,이태원2동,0.86,0.14,1.0,-,17.0,131.0,372948.0,372948.0
서울시,용산구,서빙고동,2.8,0.46,1.0,4,15.0,137.0,372948.0,372948.0
서울시,용산구,보광동,0.71,0.12,1.0,1,25.0,198.0,372948.0,372948.0
서울시,용산구,청파동,0.91,0.15,1.0,4,31.0,247.0,372948.0,372948.0
서울시,용산구,원효로1동,0.59,0.1,1.0,4,21.0,134.0,372948.0,372948.0
서울시,용산구,한강로동,2.9,0.48,1.0,5,40.0,258.0,372948.0,372948.0
서울시,용산구,한남동,3.01,0.5,1.0,1,38.0,282.0,372948.0,372948.0
서울시,성동구,소계,16.82,2.78,17.0,17,471.0,3645.0,287401.0,287401.0
서울시,성동구,왕십리2동,0.41,0.07,1.0,1,24.0,189.0,287401.0,287401.0
서울시,성동구,마장동,1.05,0.17,1.0,1,35.0,274.0,287401.0,287401.0
서울시,성동구,사근동,1.1,0.18,1.0,1,23.0,175.0,287401.0,287401.0
서울시,성동구,행당1동,0.59,0.1,1.0,1,26.0,182.0,287401.0,287401.0
서울시,성동구,행당2동,0.42,0.07,1.0,-,27.0,160.0,287401.0,287401.0
서울시,성동구,응봉동,0.57,0.09,1.0,1,21.0,177.0,287401.0,287401.0
서울시,성동구,금호1가동,0.46,0.08,1.0,1,25.0,182.0,287401.0,287401.0
서울시,성동구,금호4가동,0.84,0.14,1.0,1,22.0,176.0,287401.0,287401.0
서울시,성동구,성수1가1동,1.97,0.33,1.0,1,29.0,243.0,287401.0,287401.0
서울시,성동구,성수1가2동,0.89,0.15,1.0,-,23.0,181.0,287401.0,287401.0
서울시,성동구,성수2가1동,1.17,0.19,1.0,1,34.0,277.0,287401.0,287401.0
서울시,성동구,성수2가3동,1.03,0.17,1.0,-,23.0,158.0,287401.0,287401.0
서울시,성동구,송정동,0.75,0.12,1.0,1,23.0,171.0,287401.0,287401.0
서울시,성동구,용답동,2.31,0.38,1.0,1,27.0,231.0,287401.0,287401.0
서울시,성동구,왕십리도선동,0.72,0.12,1.0,3,36.0,266.0,287401.0,287401.0
서울시,성동구,금호2.3가동,0.64,0.11,1.0,2,34.0,291.0,287401.0,287401.0
서울시,성동구,옥수동,1.94,0.32,1.0,1,39.0,312.0,287401.0,287401.0
서울시,광진구,소계,17.06,2.82,15.0,7,370.0,3012.0,290848.0,290848.0
서울시,광진구,화양동,1.16,0.19,1.0,1,32.0,245.0,290848.0,290848.0
서울시,광진구,군자동,0.74,0.12,1.0,1,28.0,226.0,290848.0,290848.0
서울시,광진구,중곡1동,0.62,0.1,1.0,1,18.0,144.0,290848.0,290848.0
서울시,광진구,중곡2동,0.55,0.09,1.0,-,21.0,173.0,290848.0,290848.0
서울시,광진구,중곡3동,0.6,0.1,1.0,-,21.0,169.0,290848.0,290848.0
서울시,광진구,중곡4동,2.32,0.38,1.0,-,28.0,216.0,290848.0,290848.0
서울시,광진구,능동,1.1,0.18,1.0,1,12.0,84.0,290848.0,290848.0
서울시,광진구,구의1동,0.56,0.09,1.0,1,27.0,217.0,290848.0,290848.0
서울시,광진구,구의2동,1.39,0.23,1.0,-,21.0,185.0,290848.0,290848.0
서울시,광진구,구의3동,1.02,0.17,1.0,-,30.0,218.0,290848.0,290848.0
서울시,광진구,광장동,2.39,0.39,1.0,1,29.0,304.0,290848.0,290848.0
서울시,광진구,자양1동,0.57,0.09,1.0,1,26.0,213.0,290848.0,290848.0
서울시,광진구,자양2동,1.68,0.28,1.0,-,26.0,213.0,290848.0,290848.0
서울시,광진구,자양3동,1.2,0.2,1.0,-,25.0,244.0,290848.0,290848.0
서울시,광진구,자양4동,1.16,0.19,1.0,-,26.0,161.0,290848.0,290848.0
서울시,동대문구,소계,14.22,2.35,14.0,10,363.0,2657.0,421182.0,421182.0
