dong,기타,동물병원,동물약국,반려동물편의시설,보류
가락1동,1,0,3,1,0
가락2동,1,2,10,2,0
가락본동,0,1,10,6,0
가리봉동,0,0,2,1,0
가산동,0,1,12,7,0
가양1동,4,0,14,10,0
가양2동,1,3,2,2,0
가양3동,0,0,2,0,0
가회동,8,0,0,0,0
갈현1동,0,3,3,2,0
갈현2동,0,2,9,6,0
강일동,0,2,5,1,0
개봉1동,0,3,3,2,0
개봉2동,0,2,6,2,0
개봉3동,0,1,4,1,0
개포2동,2,4,2,0,0
개포3동,0,0,2,0,0
개포4동,0,5,2,1,0
거여1동,0,3,0,2,0
거여2동,0,1,4,0,0
고덕1동,1,1,2,0,0
고덕2동,0,3,4,4,0
고척1동,0,4,5,8,0
고척2동,0,1,4,0,0
공덕동,0,2,11,2,0
공릉1동,1,5,13,5,0
공릉2동,3,3,5,2,0
공항동,0,3,3,3,0
광장동,1,3,2,1,0
광희동,1,1,1,4,0
교남동,1,1,6,0,0
구로1동,0,1,2,0,0
구로2동,0,4,3,2,0
구로3동,0,1,4,4,0
구로4동,0,0,4,2,0
구로5동,2,1,6,4,0
구산동,0,1,1,3,0
구의1동,0,1,5,5,0
구의2동,0,2,5,5,0
구의3동,0,1,6,5,0
군자동,1,3,3,3,0
금호1가동,0,0,1,0,0
금호2·3가동,1,2,3,2,0
금호4가동,0,3,1,4,0
길동,1,7,8,4,0
길음1동,0,3,3,2,0
길음2동,0,4,5,3,0
낙성대동,1,3,2,1,0
난곡동,1,0,4,2,0
난향동,0,0,2,1,0
남가좌1동,0,2,3,3,0
남가좌2동,0,3,4,2,0
남영동,1,0,2,3,0
남현동,0,1,6,1,0
내곡동,0,1,3,1,0
노량진1동,0,0,5,1,0
노량진2동,0,1,2,0,0
녹번동,1,3,7,4,0
논현1동,3,5,20,17,0
논현2동,7,5,9,8,0
능동,1,2,2,3,0
다산동,0,4,3,3,0
답십리1동,0,4,3,2,0
답십리2동,0,2,2,1,0
당산1동,1,1,3,4,0
당산2동,1,2,8,3,1
대림1동,0,1,7,1,0
대림2동,0,0,3,0,0
대림3동,0,1,1,1,0
대방동,0,2,4,5,0
대조동,1,5,7,7,0
대치1동,0,2,7,3,0
대치2동,2,2,7,2,0
대치4동,1,3,6,7,0
대학동,1,0,4,2,0
대흥동,1,2,7,1,0
도곡1동,0,1,6,1,0
도곡2동,0,1,8,2,0
도림동,1,1,1,0,0
도봉1동,0,1,2,3,0
도봉2동,0,3,2,2,0
도화동,0,2,6,1,0
독산1동,0,4,8,10,0
독산2동,0,2,3,0,0
독산3동,0,1,3,2,0
독산4동,0,2,1,1,0
돈암1동,0,0,2,0,0
돈암2동,0,1,1,0,0
동선동,1,3,7,6,0
동화동,0,2,1,1,0
둔촌2동,3,2,1,5,0
등촌1동,0,1,6,3,0
등촌2동,0,1,2,0,0
등촌3동,2,3,5,3,0
마장동,1,1,1,2,0
마천1동,0,0,2,1,0
마천2동,0,2,6,3,0
망우3동,1,0,3,2,0
망우본동,3,2,5,5,0
망원1동,2,4,8,10,0
망원2동,0,1,4,6,0
면목2동,0,0,1,2,0
면목3·8동,2,3,8,3,0
면목4동,1,0,1,2,0
면목5동,0,1,1,2,0
면목7동,0,3,4,5,0
면목본동,1,5,6,1,0
명동,3,0,8,5,0
명일1동,1,4,8,4,0
명일2동,0,3,13,3,0
목1동,1,4,11,7,0
목2동,1,3,3,1,0
목3동,1,6,8,2,0
목4동,0,4,5,5,0
목5동,0,4,2,1,0
무악동,0,0,1,0,0
묵1동,0,1,1,6,0
묵2동,1,2,3,5,0
문래동,1,2,5,2,0
문정1동,0,2,3,1,0
문정2동,0,5,13,20,0
미성동,1,2,3,6,0
미아동,2,1,3,3,0
반포1동,0,5,5,2,0
반포2동,1,2,2,0,0
반포3동,0,1,5,1,0
반포4동,0,4,6,7,0
발산1동,3,7,18,12,0
방배1동,0,5,6,4,0
방배2동,0,3,3,4,0
방배3동,0,1,1,1,0
방배4동,0,3,6,7,0
방배본동,0,4,4,2,0
방이1동,2,3,1,3,0
방이2동,1,3,11,6,0
방학1동,2,3,4,4,0
방학2동,0,2,3,1,0
방학3동,2,1,3,0,0
방화1동,2,2,7,3,0
방화2동,0,1,3,3,0
방화3동,1,3,1,1,0
번1동,0,2,8,4,0
번2동,0,0,3,3,0
번3동,1,1,2,2,0
보광동,0,2,1,4,0
보라매동,0,1,2,4,0
보문동,0,2,2,2,0
부암동,7,3,1,1,0
북가좌1동,0,0,1,1,0
북가좌2동,0,5,5,4,0
북아현동,0,2,2,0,0
불광1동,1,4,7,5,0
불광2동,0,1,2,3,0
사근동,2,1,5,1,0
사당1동,0,4,4,6,0
사당2동,0,1,5,3,0
사당3동,1,1,2,3,0
사당4동,0,0,1,1,0
사당5동,0,2,2,0,0
사직동,10,2,6,2,0
삼각산동,0,5,4,2,0
삼선동,0,2,5,12,0
삼성1동,3,3,7,7,0
삼성2동,1,6,8,14,0
삼성동,0,1,4,4,0
삼양동,0,2,5,3,0
삼전동,0,5,9,7,0
삼청동,4,0,0,2,0
상계10동,0,1,1,2,0
상계1동,0,6,2,4,0
상계2동,0,4,7,10,0
상계3·4동,0,2,4,1,0
상계5동,0,2,5,7,0
상계6·7동,1,4,10,4,0
상계8동,0,0,3,1,0
상계9동,0,1,1,1,0
상도1동,1,3,6,7,0
상도2동,0,4,5,3,0
상도3동,0,0,2,2,0
상도4동,0,0,1,1,0
상봉1동,0,1,5,4,0
상봉2동,0,2,5,5,0
상암동,7,4,6,0,0
상일제1동,2,1,2,1,0
상일제2동,0,0,2,0,0
서강동,4,2,4,4,0
서교동,4,9,14,27,0
서림동,0,0,3,1,0
서빙고동,1,0,0,0,0
서원동,0,2,3,3,0
서초1동,0,4,6,8,0
서초2동,2,3,11,2,0
서초3동,4,3,18,8,0
서초4동,0,1,8,2,0
석관동,0,2,6,5,0
석촌동,0,4,15,12,0
성내1동,2,4,6,4,0
성내2동,0,1,4,3,0
성내3동,0,5,7,8,0
성북동,6,2,1,0,0
성산1동,1,1,2,1,0
성산2동,2,4,4,1,0
성수1가1동,2,2,1,7,0
성수1가2동,1,1,2,5,0
성수2가1동,1,2,5,6,0
성수2가3동,1,0,3,5,0
성현동,0,2,2,0,0
세곡동,2,3,7,1,0
소공동,8,0,2,1,0
송정동,0,1,1,1,0
송중동,3,6,9,3,0
송천동,1,2,12,5,0
송파1동,1,5,4,7,0
송파2동,0,3,4,3,0
수궁동,0,1,2,1,0
수색동,0,0,3,1,0
수서동,0,0,4,1,0
수유1동,1,1,5,4,0
수유2동,0,2,3,2,0
수유3동,0,0,8,9,0
숭인1동,0,2,0,2,0
숭인2동,0,0,1,0,0
시흥1동,1,3,7,4,0
시흥2동,0,1,1,0,0
시흥3동,0,0,1,3,0
시흥4동,0,0,2,1,0
시흥5동,0,3,5,1,0
신길1동,0,2,2,0,0
신길3동,0,2,2,0,0
신길4동,0,2,0,1,0
신길5동,0,1,0,1,0
신길6동,0,4,8,4,0
신길7동,0,0,1,1,0
신내1동,1,3,4,3,0
신내2동,0,2,1,1,0
신당5동,0,1,3,1,0
신당동,1,0,1,0,0
